Unnamed: 0,debit_cours_eau_m3s,niveau_cours_eau_m,precipitation,maree,prediction_5h
3600,1.45,0.235,0.0,0.8,0.23358056218781226
3601,1.43,0.233,0.0,0.8,0.2334291723276724
3602,1.45,0.235,0.0,0.8,0.23133998690198695
3603,1.42,0.232,0.0,0.8,0.2325799207875459
3604,1.39,0.229,0.0,0.8,0.23134183510933518
3605,1.39,0.229,0.0,0.8,0.22815558745095302
3606,1.42,0.232,0.0,0.8,0.22812041717678272
3607,1.43,0.233,0.0,0.8,0.23180057778917
3608,1.42,0.232,0.0,0.8,0.23271709167805896
3609,1.4,0.23,0.0,0.78,0.23176575713175718
3610,1.4,0.23,0.0,0.78,0.22877307908850764
3611,1.4,0.23,0.0,0.78,0.2287275328553291
3612,1.44,0.234,0.0,0.78,0.22930151468395799
3613,1.42,0.232,0.0,0.78,0.23310178820375538
3614,1.42,0.232,0.0,0.78,0.2324892983183996
3615,1.42,0.232,0.0,0.78,0.2319285137915229
3616,1.41,0.231,0.0,0.78,0.23194887223863134
3617,1.41,0.231,0.0,0.78,0.2301654024559726
3618,1.41,0.231,0.0,0.78,0.23077353617383878
3619,1.41,0.231,0.0,0.78,0.23054409691115638
3620,1.41,0.231,0.0,0.78,0.23061173038878985
3621,1.41,0.231,0.0,0.78,0.23062900311606258
3622,1.39,0.229,0.0,0.78,0.23043886652458387
3623,1.42,0.232,0.0,0.78,0.22916993165779367
3624,1.4,0.23,0.0,0.78,0.2322365424140442
3625,1.4,0.23,0.0,0.78,0.22926048082892417
3626,1.4,0.23,0.0,0.78,0.22904863092882422
3627,1.4,0.23,0.0,0.78,0.2289793722708156
3628,1.42,0.232,0.0,0.78,0.2286662385385348
3629,1.4,0.23,0.0,0.76,0.2317272918729186
3630,1.39,0.229,0.0,0.76,0.228982257460789
3631,1.37,0.227,0.0,0.76,0.22849350129018753
3632,1.37,0.227,0.0,0.76,0.22706589511075234
3633,1.37,0.227,0.0,0.76,0.2269546976618598
3634,1.42,0.232,0.0,0.76,0.22733517081678783
3635,1.42,0.232,0.0,0.76,0.23282756602474564
3636,1.41,0.231,0.0,0.76,0.2328757768833315
3637,1.39,0.229,0.0,0.76,0.2299604734669862
3638,1.39,0.229,0.0,0.76,0.22865530390174477
3639,1.39,0.229,0.0,0.76,0.22798572974314474
3640,1.39,0.229,0.0,0.76,0.22832486973358904
3641,1.39,0.229,0.0,0.76,0.22832617601064534
3642,1.39,0.229,0.0,0.76,0.22818365952712888
3643,1.39,0.229,0.0,0.76,0.2278471198445892
3644,1.39,0.229,0.0,0.76,0.22778833624775124
3645,1.37,0.227,0.0,0.76,0.22762120560062057
3646,1.37,0.227,0.0,0.76,0.22675570532086745
3647,1.37,0.227,0.0,0.76,0.22675570532086745
3648,1.39,0.229,0.0,0.76,0.22685935876772576
3649,1.42,0.232,0.0,0.76,0.22813676940638009
3650,1.42,0.232,0.0,0.76,0.23255084952747485
3651,1.41,0.231,0.0,0.76,0.2324901466053969
3652,1.37,0.227,0.0,0.76,0.22919069763090605
3653,1.37,0.227,0.0,0.76,0.22695514603603748
3654,1.37,0.227,0.0,0.76,0.2266292385163541
3655,1.37,0.227,0.0,0.76,0.22705881573388623
3656,1.38,0.228,0.0,0.76,0.2271532475520681
3657,1.39,0.229,0.0,0.76,0.2276698757444603
3658,1.39,0.229,0.0,0.76,0.2277698934213687
3659,1.39,0.229,0.0,0.76,0.22744352053097408
3660,1.38,0.228,0.0,0.76,0.22704922557557425
3661,1.32,0.222,0.0,0.76,0.22645655439993057
3662,1.32,0.222,0.0,0.76,0.2218366451595687
3663,1.34,0.224,0.0,0.76,0.2216396264761911
3664,1.34,0.224,0.0,0.76,0.22359901677549526
3665,1.35,0.225,0.0,0.76,0.22318885126268173
3666,1.35,0.225,0.0,0.76,0.22343880383320522
3667,1.35,0.225,0.0,0.76,0.2234573787501567
3668,1.35,0.225,0.0,0.76,0.22340153946637545
3669,1.38,0.228,0.0,0.78,0.22301235316026952
3670,1.39,0.229,0.0,0.78,0.22460793948589824
3671,1.39,0.229,0.0,0.78,0.2252953580531876
3672,1.35,0.225,0.0,0.78,0.22497147970930928
3673,1.35,0.225,0.0,0.78,0.2236820801887156
3674,1.35,0.225,0.0,0.78,0.2236206413506898
3675,1.39,0.229,0.0,0.78,0.22375333556511737
3676,1.35,0.225,0.0,0.78,0.22615364104145538
3677,1.37,0.227,0.0,0.78,0.2231514650197488
3678,1.35,0.225,0.0,0.78,0.22407396164011575
3679,1.37,0.227,0.0,0.78,0.2237578226956366
3680,1.35,0.225,0.0,0.78,0.2247195155744411
3681,1.32,0.222,0.0,0.78,0.22398554641239607
3682,1.31,0.221,0.0,0.78,0.2216655365895325
3683,1.32,0.222,0.0,0.78,0.22135288238258377
3684,1.31,0.221,0.0,0.78,0.22144053741071115
3685,1.35,0.225,0.0,0.78,0.22127749250279907
3686,1.35,0.225,0.0,0.78,0.22371409503539877
3687,1.35,0.225,0.0,0.78,0.22382784497930783
3688,1.29,0.219,0.0,0.78,0.22328230321581682
3689,1.29,0.219,0.0,0.8,0.22118704648543375
3690,1.31,0.221,0.0,0.8,0.22094166816871033
3691,1.31,0.221,0.0,0.8,0.22064400299564507
3692,1.31,0.221,0.0,0.8,0.22073685293487397
3693,1.31,0.221,0.0,0.8,0.22040012392597444
3694,1.34,0.224,0.0,0.8,0.22065911672379723
3695,1.31,0.221,0.0,0.8,0.2231187625842097
3696,1.36,0.226,0.0,0.8,0.22061252787584318
3697,1.31,0.221,0.0,0.8,0.22446542878709386
3698,1.31,0.221,0.0,0.8,0.22073476101036904
3699,1.28,0.218,0.0,0.8,0.22051849671399662
3700,1.28,0.218,0.0,0.8,0.2185837670848386
3701,1.31,0.221,0.0,0.8,0.2202514213655736
3702,1.31,0.221,0.0,0.8,0.22060408104977458
3703,1.31,0.221,0.0,0.8,0.22063656242725965
3704,1.35,0.225,0.0,0.8,0.22043488087236834
3705,1.31,0.221,0.0,0.8,0.22408876277769305
3706,1.34,0.224,0.0,0.8,0.2207663227693455
3707,1.34,0.224,0.0,0.8,0.22273837767117816
3708,1.34,0.224,0.0,0.8,0.22259178760689236
3709,1.36,0.226,0.0,0.82,0.2222478880619928
3710,1.36,0.226,0.0,0.82,0.22362714571575426
3711,1.36,0.226,0.0,0.82,0.2230172437740408
3712,1.33,0.223,0.0,0.82,0.2224912412088902
3713,1.33,0.223,0.0,0.82,0.22186566266280294
3714,1.31,0.221,0.0,0.82,0.2217079015361292
3715,1.31,0.221,0.0,0.82,0.21988613979245225
3716,1.31,0.221,0.0,0.82,0.2199612231257856
3717,1.33,0.223,0.0,0.82,0.21982534100627113
3718,1.31,0.221,0.0,0.82,0.221645218558306
3719,1.33,0.223,0.0,0.82,0.21958725355117362
3720,1.31,0.221,0.0,0.82,0.22168290436755161
3721,1.31,0.221,0.0,0.82,0.21954315361542723
3722,1.31,0.221,0.0,0.82,0.21968042419393152
3723,1.31,0.221,0.0,0.82,0.21950074982501477
3724,1.31,0.221,0.0,0.82,0.21971767419393154
3725,1.31,0.221,0.0,0.82,0.21952049341475835
3726,1.32,0.222,0.0,0.82,0.21958635874363236
3727,1.32,0.222,0.0,0.82,0.21998859728407896
3728,1.32,0.222,0.0,0.82,0.21994092521930164
3729,1.31,0.221,0.0,0.82,0.21994092521930164
3730,1.29,0.219,0.0,0.82,0.21955527725856516
3731,1.29,0.219,0.0,0.82,0.21927562687086252
3732,1.29,0.219,0.0,0.82,0.21933891396040864
3733,1.31,0.221,0.0,0.82,0.219426179270148
3734,1.31,0.221,0.0,0.82,0.2195068893559705
3735,1.31,0.221,0.0,0.82,0.2195538242082153
3736,1.29,0.219,0.0,0.82,0.2194507709743415
3737,1.29,0.219,0.0,0.82,0.21923871299233086
3738,1.29,0.219,0.0,0.82,0.21879417279140762
3739,1.26,0.216,0.0,0.84,0.21885236844770367
3740,1.29,0.219,0.0,0.84,0.21282747575237596
3741,1.29,0.219,0.0,0.84,0.21879839046836658
3742,1.29,0.219,0.0,0.84,0.21886270280554096
3743,1.29,0.219,0.0,0.84,0.21843746658453736
3744,1.29,0.219,0.0,0.84,0.21862281552797252
3745,1.31,0.221,0.0,0.84,0.218668441862801
3746,1.31,0.221,0.0,0.84,0.21877090085316173
3747,1.32,0.222,0.0,0.84,0.21879149714506102
3748,1.31,0.221,0.0,0.84,0.2191325254241222
3749,1.29,0.219,0.0,0.84,0.21870607759844063
3750,1.27,0.217,0.0,0.84,0.21861042062112318
3751,1.29,0.219,0.0,0.84,0.2145490115924499
3752,1.27,0.217,0.0,0.84,0.21872163718698168
3753,1.27,0.217,0.0,0.84,0.21650037075536688
3754,1.27,0.217,0.0,0.84,0.21635478128335767
3755,1.28,0.218,0.0,0.84,0.216187767416369
3756,1.28,0.218,0.0,0.84,0.2174889242699013
3757,1.29,0.219,0.0,0.84,0.21742355900898705
3758,1.23,0.213,0.0,0.84,0.21881804477156902
3759,1.23,0.213,0.0,0.82,0.2148632906209912
3760,1.23,0.213,0.0,0.82,0.21550504498504186
3761,1.28,0.218,0.0,0.82,0.21536185488499793
3762,1.28,0.218,0.0,0.82,0.217970617353096
3763,1.27,0.217,0.0,0.82,0.21775025941004122
3764,1.27,0.217,0.0,0.82,0.21618525081916146
3765,1.29,0.219,0.0,0.82,0.2158122204218059
3766,1.31,0.221,0.0,0.82,0.21794707108726946
3767,1.29,0.219,0.0,0.82,0.21815374221851702
3768,1.3,0.22,0.0,0.82,0.21779281185631305
3769,1.3,0.22,0.0,0.82,0.21767042385675914
3770,1.3,0.22,0.0,0.82,0.2177986954313228
3771,1.28,0.218,0.0,0.82,0.21783944990055965
3772,1.28,0.218,0.0,0.82,0.21589535339777405
3773,1.29,0.219,0.0,0.82,0.2154815389023663
3774,1.29,0.219,0.0,0.82,0.21751161016639306
3775,1.27,0.217,0.0,0.82,0.21739809538791166
3776,1.26,0.216,0.0,0.82,0.2154486486526463
3777,1.26,0.216,0.0,0.82,0.21549364352308636
3778,1.27,0.217,0.0,0.82,0.2154910763739313
3779,1.27,0.217,0.0,0.8,0.21564798395517087
3780,1.27,0.217,0.0,0.8,0.21559275352398596
3781,1.29,0.219,0.0,0.8,0.21529591992936692
3782,1.29,0.219,0.0,0.8,0.2170533466239862
3783,1.29,0.219,0.0,0.8,0.21715761231501496
3784,1.27,0.217,0.0,0.8,0.2169718462983589
3785,1.27,0.217,0.0,0.8,0.21523660187065857
3786,1.24,0.214,0.0,0.8,0.215357528264678
3787,1.24,0.214,0.0,0.8,0.21552537357677656
3788,1.27,0.217,0.0,0.8,0.21546307459819683
3789,1.27,0.217,0.0,0.82,0.2159815363924221
3790,1.28,0.218,0.0,0.82,0.21573207663969388
3791,1.28,0.218,0.0,0.82,0.21448855241983522
3792,1.28,0.218,0.0,0.82,0.21482986785954353
3793,1.26,0.216,0.0,0.82,0.21511379592569718
3794,1.26,0.216,0.0,0.82,0.2154677333551864
3795,1.26,0.216,0.0,0.82,0.215398133874511
3796,1.27,0.217,0.0,0.82,0.2155618151741574
3797,1.26,0.216,0.0,0.82,0.21542269072148734
3798,1.26,0.216,0.0,0.82,0.21565742018619674
3799,1.26,0.216,0.0,0.84,0.21541107841654356
3800,1.26,0.216,0.0,0.84,0.21558584772488384
3801,1.27,0.217,0.0,0.84,0.21560557753437018
3802,1.26,0.216,0.0,0.84,0.2153685886187146
3803,1.27,0.217,0.0,0.84,0.21568895051554837
3804,1.26,0.216,0.0,0.84,0.21518363645171476
3805,1.26,0.216,0.0,0.84,0.21561546634893658
3806,1.26,0.216,0.0,0.84,0.21516605087823348
3807,1.28,0.218,0.0,0.84,0.21532078489361045
3808,1.28,0.218,0.0,0.84,0.21485883909115494
3809,1.27,0.217,0.0,0.86,0.21473819244774522
3810,1.27,0.217,0.0,0.86,0.21506263076484486
3811,1.26,0.216,0.0,0.86,0.2150205101925582
3812,1.23,0.213,0.0,0.86,0.2152156935534612
3813,1.23,0.213,0.0,0.86,0.21460375858005626
3814,1.24,0.214,0.0,0.86,0.2140434903830773
3815,1.25,0.215,0.0,0.86,0.21481409013576516
3816,1.24,0.214,0.0,0.86,0.21533750881512664
3817,1.25,0.215,0.0,0.86,0.21437288192705176
3818,1.23,0.213,0.0,0.86,0.2152713665092158
3819,1.27,0.217,0.0,0.88,0.21353899603040066
3820,1.23,0.213,0.0,0.88,0.2153931087449134
3821,1.23,0.213,0.0,0.88,0.2135418129318091
3822,1.23,0.213,0.0,0.88,0.21339241839427348
3823,1.28,0.218,0.0,0.88,0.21375553646346482
3824,1.28,0.218,0.0,0.88,0.2159885888347149
3825,1.26,0.216,0.0,0.88,0.21542168371621728
3826,1.24,0.214,0.0,0.88,0.21526790939256688
3827,1.24,0.214,0.0,0.88,0.21490655545490397
3828,1.24,0.214,0.0,0.88,0.21517088900728404
3829,1.23,0.213,0.0,0.9,0.215155342174225
3830,1.24,0.214,0.0,0.9,0.21371521611346142
3831,1.22,0.212,0.0,0.9,0.21466074729089757
3832,1.24,0.214,0.0,0.9,0.21270288870157522
3833,1.24,0.214,0.0,0.9,0.21448261806203003
3834,1.24,0.214,0.0,0.9,0.2146195318128665
3835,1.25,0.215,0.0,0.9,0.21447670508395947
3836,1.26,0.216,0.0,0.9,0.21537404209090172
3837,1.26,0.216,0.0,0.9,0.21545706559242017
3838,1.26,0.216,0.0,0.9,0.21539919257654713
3839,1.24,0.214,0.0,0.92,0.21532276400511857
3840,1.25,0.215,0.0,0.92,0.21492326130217707
3841,1.25,0.215,0.0,0.92,0.21569760971706572
3842,1.25,0.215,0.0,0.92,0.21571771716558077
3843,1.24,0.214,0.0,0.92,0.21563467535631503
3844,1.24,0.214,0.0,0.92,0.2149040032317208
